ParaBond Analysis
By Miguel Nistal
20 Apr 2020
MemoryBoundNode
Workers: 2
Hosts: localhost (dispatcher), localhost:8000(worker), 192.168.1.140:9000(worker), 192.168.1.144 (mongo)
Cores: 4
   N   missed      T1       TN      R      e
1000        0   79.28    92.51   0.86   0.43
2000        0  164.59   182.15   0.90   0.45
4000        0  326.06   360.60   0.90   0.45
8000        0  651.20   722.11   0.90   0.45
16000       0 1276.57  1438.56   0.89   0.44
32000       0 2614.48  2880.07   0.91   0.45
64000       0 5104.29  5758.53   0.89   0.44
100000      0 8054.70  9015.65   0.89   0.45

