ParaBond Analysis
By Miguel Nistal
20 Apr 2020
MemoryBoundNode
Workers: 2
Hosts: localhost (dispatcher), localhost:8000(worker), 192.168.1.140:9000(worker), 127.0.0.1 (mongo)
Cores: 4
   N  missed      T1       TN      R      e
1000      50   78.29    91.10   0.86   0.43
2000     100  157.05   180.27   0.87   0.44
4000     200  304.98   350.99   0.87   0.43
8000     400  601.20   695.26   0.86   0.43
16000    800 1230.96  1391.86   0.88   0.44
32000   1600 2513.59  2833.28   0.89   0.44
64000   3200 4876.54  5567.17   0.88   0.44
100000   5000 7716.04  8661.83   0.89   0.45

