ParaBond Analysis
By Miguel Nistal
20 Apr 2020
BasicNode
Workers: 2
Hosts: localhost (dispatcher), localhost:8000(worker), 192.168.1.140:9000(worker), 192.168.1.144 (mongo)
Cores: 4
   N   missed      T1       TN       R      e
1000        0  775.82    92.67    8.37   4.19
2000        0 1500.76   180.14    8.33   4.17
4000        0 3006.39   386.94    7.77   3.88
8000        0 5930.25   716.48    8.28   4.14
16000       0 11745.63  1694.73   6.93   3.47
32000       0 23611.79  3382.33   6.98   3.49
64000       0 47463.57  7958.33   5.96   2.98
100000      0 75779.42  9887.57   7.66   3.83

